price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_original,price_bin
2.8438932528952767,0.6244286394661741,4,1,2,1,0,1,0,0,2,0,1,9100000,High
2.8438932528952767,0.96199057410424,4,2,2,1,1,1,0,1,1,1,2,9100000,High
2.756024369010253,2.0309367004581156,3,2,4,1,0,0,0,1,2,0,0,8960000,High
2.7120899270677414,-0.16321587468931315,3,2,2,1,1,0,0,1,2,0,0,8890000,High
2.6901227060964854,0.8607219937128203,3,2,2,1,0,0,0,1,1,1,1,8855000,High
2.6242210431827178,-0.3207447775204106,3,1,2,1,0,1,1,0,2,0,1,8750000,High
2.5802866012402057,1.274235363644451,3,2,1,1,1,1,0,1,2,0,2,8680000,High
2.55831938026895,1.7777652494795662,3,1,1,1,1,1,0,1,1,0,0,8645000,High
2.55831938026895,-0.1857200036651842,3,2,2,1,1,1,0,1,1,0,0,8645000,High
2.514384938326438,2.1997176677771484,3,2,2,1,0,0,0,1,2,0,0,8575000,High
2.4924177173551825,0.9282343806404335,4,2,2,1,1,1,0,1,2,1,0,8540000,High
2.4440898312184194,0.6244286394661741,3,2,4,1,1,1,0,1,0,1,1,8463000,High
2.404548833470159,2.241912909606907,3,1,1,1,0,0,0,0,1,0,1,8400000,High
2.404548833470159,1.7215049270398886,5,2,2,1,0,1,1,0,2,0,2,8400000,High
2.404548833470159,0.3431270272677858,4,2,2,1,0,1,0,1,1,1,1,8400000,High
2.404548833470159,1.4542683954514195,3,2,4,1,0,0,0,1,2,0,2,8400000,High
2.404548833470159,1.1870318638629507,3,1,4,1,0,0,0,1,2,0,1,8400000,High
2.338647170556391,-0.005686971858215685,4,2,2,1,0,0,0,1,1,1,0,8295000,High
2.2727455076426235,0.601924510490303,3,3,2,1,1,1,0,0,1,0,2,8190000,High
2.2288110657001114,1.0970153479594664,5,1,2,1,1,1,0,1,1,0,0,8120000,High
2.20429564709619,1.1870318638629507,3,2,4,1,0,0,0,1,2,0,0,8080940,High
2.1804831795633484,1.458206618022197,3,2,3,1,0,0,1,0,1,1,0,8043000,High
2.1409421818150878,2.312238312656504,4,2,4,1,0,0,0,1,2,0,0,7980000,High
2.12995857132946,0.6244286394661741,3,1,4,1,1,0,0,1,2,0,2,7962500,High
2.097007739872576,0.6244286394661741,4,2,4,1,0,0,0,1,1,0,1,7910000,High
2.07504051890132,0.9338604128844012,3,1,2,1,0,1,0,1,0,1,0,7875000,High
2.0530732979300645,0.8269658002490137,3,2,4,1,0,0,0,1,0,1,0,7840000,High
1.9652044140450409,0.8944781871766269,3,2,4,1,0,0,0,1,2,0,2,7700000,High
1.9652044140450409,0.6244286394661741,4,2,4,1,0,0,0,0,2,0,1,7700000,High
1.8773355301600172,0.6244286394661741,4,2,4,1,0,0,0,1,1,0,0,7560000,High
1.8773355301600172,0.6244286394661741,3,2,3,1,0,0,0,1,0,0,1,7560000,High
1.8553683091887614,0.6244286394661741,3,2,4,1,0,0,0,1,1,0,0,7525000,High
1.8334010882175054,0.96199057410424,3,1,4,1,0,0,0,1,3,1,0,7490000,High
1.8114338672462496,-0.3319968420083461,3,2,2,1,0,1,0,0,1,0,2,7455000,High
1.7894666462749935,1.4345772825975325,3,2,1,1,1,1,0,1,0,1,1,7420000,High
1.7894666462749935,1.4345772825975325,3,2,4,1,0,0,0,0,1,1,2,7420000,High
1.7894666462749935,0.8072746873951265,3,1,4,1,0,0,0,1,1,0,2,7420000,High
1.745532204332482,0.6244286394661741,4,2,4,1,1,0,0,1,1,0,0,7350000,High
1.745532204332482,0.146215898728914,3,2,4,1,0,0,0,1,2,0,1,7350000,High
1.745532204332482,0.6244286394661741,3,2,2,1,1,0,0,1,1,0,1,7350000,High
1.745532204332482,0.6244286394661741,3,1,2,1,0,0,0,1,1,0,2,7350000,High
1.679630541418714,2.312238312656504,4,2,4,1,1,0,0,1,1,1,0,7245000,High
1.6576633204474582,1.5696020564527589,4,2,4,1,1,0,0,1,1,0,1,7210000,High
1.6576633204474582,0.6244286394661741,3,2,4,1,1,0,0,1,1,0,0,7210000,High
1.6137288785049464,0.6244286394661741,3,2,2,1,1,0,0,0,1,0,1,7140000,High
1.5697944365624346,2.2447259257288907,2,1,1,1,0,0,0,1,1,0,1,7070000,High
1.5697944365624346,0.7594534133214005,4,2,2,1,0,0,0,1,1,0,0,7070000,High
1.5478272155911788,0.8269658002490137,4,2,3,1,0,0,0,1,2,1,0,7035000,High
1.481925552677411,2.2447259257288907,3,2,2,1,0,1,0,1,1,0,0,6930000,High
1.459958331706155,1.5808541209406943,3,2,1,1,0,0,0,0,2,0,2,6895000,High
1.4379911107348993,0.6244286394661741,3,1,1,1,0,0,0,1,1,0,0,6860000,High
1.3940566687923874,-0.5007778093273791,3,2,2,1,0,1,0,1,0,1,1,6790000,High
1.3720894478211316,0.6244286394661741,4,2,4,1,0,0,0,1,0,0,2,6755000,High
1.3501222268498756,0.07307747955733304,3,1,4,1,0,0,0,1,0,1,2,6720000,High
1.3281550058786198,0.96199057410424,2,2,4,1,0,1,0,0,0,1,0,6685000,High
1.306187784907364,-0.478273680351508,3,1,2,1,0,1,1,0,1,0,0,6650000,High
1.306187784907364,-0.3545009709842172,4,2,2,1,0,0,1,0,0,0,1,6650000,High
1.306187784907364,0.8607219937128203,3,2,3,1,0,0,0,1,0,1,0,6650000,High
1.306187784907364,0.9057302516645624,3,2,3,1,0,0,0,1,0,1,0,6650000,High
1.306187784907364,0.45564767214714114,3,1,1,1,1,1,0,1,2,1,0,6650000,High
1.306187784907364,0.6244286394661741,3,2,3,1,1,0,0,1,0,0,0,6650000,High
1.2930074523246105,0.6244286394661741,3,1,2,1,0,0,1,0,1,1,1,6629000,High
1.284220563936108,-0.5007778093273791,3,2,2,1,0,1,0,1,1,0,1,6615000,High
1.2622533429648521,0.6244286394661741,3,2,4,1,0,0,0,1,0,0,1,6580000,High
1.2183189010223403,-0.6358025831826055,3,1,2,1,0,0,1,0,2,0,1,6510000,High
1.2183189010223403,1.8902858943589216,3,2,3,1,0,0,0,1,0,0,0,6510000,High
1.2183189010223403,1.0013727998120145,3,1,3,1,0,1,0,0,0,1,2,6510000,High
1.1963516800510845,-0.5232819383032502,3,1,1,1,0,1,0,0,2,0,1,6475000,High
1.1963516800510845,1.4176991858656292,3,1,1,1,1,1,0,1,2,1,2,6475000,High
1.1743844590798285,2.075944958409858,5,3,2,1,0,0,0,0,2,0,0,6440000,High
1.1743844590798285,0.06182541506939751,3,1,2,1,0,0,0,1,0,0,1,6440000,High
1.161204126497075,1.0463810577637567,2,1,1,1,1,1,0,0,2,1,0,6419000,High
1.1524172381085727,-0.05069522980995781,3,2,4,1,1,0,0,1,0,0,0,6405000,High
1.086515575194805,1.299552508742306,3,2,1,1,0,1,0,1,3,0,1,6300000,High
1.086515575194805,0.6244286394661741,4,2,4,1,0,0,0,0,1,0,1,6300000,High
1.086515575194805,-0.44451748688770143,3,2,3,1,0,0,0,1,2,0,1,6300000,High
1.086515575194805,2.312238312656504,3,1,1,1,0,1,0,0,1,1,0,6300000,High
1.086515575194805,0.8494699292248847,3,1,1,1,1,1,0,1,1,1,1,6300000,High
1.0821221310005538,0.96199057410424,3,2,3,1,0,0,0,1,0,1,2,6293000,High
1.064548354223549,0.6244286394661741,4,1,3,1,1,1,0,0,0,1,2,6265000,High
1.0425811332522932,0.96199057410424,3,2,1,1,0,1,0,1,0,1,2,6230000,High
1.0425811332522932,0.3431270272677858,3,1,3,1,0,0,0,0,1,1,2,6230000,High
1.0206139122810372,0.3431270272677858,3,2,4,1,1,0,0,1,1,0,1,6195000,High
1.0206139122810372,0.8213397680050459,3,2,3,1,1,0,0,1,0,0,0,6195000,High
1.0206139122810372,0.3431270272677858,3,2,1,1,1,1,0,0,2,1,0,6195000,High
0.9986466913097813,-0.2194761971289908,3,1,4,1,0,0,0,1,0,0,2,6160000,High
0.9986466913097813,0.31499686604794697,4,2,1,1,0,1,0,1,0,1,1,6160000,High
0.9766794703385254,0.8607219937128203,3,1,3,1,0,1,0,0,0,1,2,6125000,High
0.9656958598528975,-0.9283562598689293,4,1,3,1,0,0,0,0,1,0,1,6107500,High
0.9547122493672696,0.9704296224701917,4,2,2,1,1,0,1,0,1,0,1,6090000,High
0.9547122493672696,0.96199057410424,3,1,1,1,1,1,0,0,2,1,1,6090000,High
0.9547122493672696,1.9589234877353283,3,1,3,1,0,0,0,1,2,0,2,6090000,High
0.9503188051730184,-0.3319968420083461,6,2,2,1,0,0,0,0,0,0,0,6083000,High
0.9503188051730184,2.6610523117825053,3,1,1,1,0,1,0,0,2,1,0,6083000,High
0.9107778074247578,1.0745112189835955,2,1,1,1,1,1,0,0,2,0,0,6020000,High
0.9107778074247578,1.7496350882597274,3,1,1,1,1,1,0,1,2,1,1,6020000,High
0.9107778074247578,1.130771541423273,3,2,1,1,1,1,0,0,0,1,2,6020000,High
